type,pp,limit,margin,side,stat
open Position,1569.65,1538.26,0.01,long,filled
close Position,1569.65,1621.97,0.01,long,canceled
open Position,1569.65,1601.04,0.01,short,filled
close Position,1569.65,1517.33,0.01,short,filled
open Position,1553.96,1522.88,0.01,long,filled
close Position,1553.96,1605.76,0.01,long,canceled
open Position,1543.6,1512.73,0.01,long,filled
close Position,1543.6,1595.05,0.01,long,canceled
open Position,1535.88,1505.16,0.01,long,filled
close Position,1535.88,1587.08,0.01,long,filled
open Position,1585.35,1617.06,0.01,short,filled
close Position,1585.35,1532.5,0.01,short,canceled
open Position,1595.92,1627.84,0.01,short,filled
close Position,1595.92,1542.72,0.01,short,canceled
open Position,1603.9,1635.98,0.01,short,filled
close Position,1603.9,1550.44,0.01,short,canceled
open Position,1610.32,1642.53,0.01,short,filled
close Position,1610.32,1556.64,0.01,short,canceled
open Position,1615.69,1648,0.01,short,filled
close Position,1615.69,1561.83,0.06,short,filled
open Position,1620.31,1652.72,0.01,short,filled
close Position,1620.31,1566.3,0.07,short,canceled
open Position,1624.36,1656.85,0.01,short,filled
close Position,1624.36,1570.21,0.08,short,canceled
open Position,1627.97,1660.53,0.01,short,filled
close Position,1627.97,1573.7,0.09,short,canceled
open Position,1631.23,1663.85,0.01,short,filled
close Position,1631.23,1576.86,0.1,short,canceled
open Position,1634.2,1666.88,0.01,short,filled
close Position,1634.2,1579.73,0.11,short,canceled
open Position,1636.92,1669.66,0.01,short,filled
close Position,1636.92,1582.36,0.12,short,canceled
open Position,1639.44,1672.23,0.01,short,filled
close Position,1639.44,1584.79,0.13,short,canceled
open Position,1641.78,1674.62,0.01,short,filled
close Position,1641.78,1587.05,0.14,short,canceled
open Position,1643.97,1676.85,0.01,short,filled
close Position,1643.97,1589.17,0.15,short,canceled
open Position,1646.02,1678.94,0.01,short,filled
close Position,1646.02,1591.15,0.16,short,canceled
open Position,1647.96,1680.92,0.01,short,filled
close Position,1647.96,1593.03,0.17,short,filled
open Position,1529.74,1499.15,0.01,long,filled
close Position,1529.74,1580.73,0.01,long,canceled
open Position,1524.64,1494.15,0.01,long,filled
close Position,1524.64,1575.46,0.06,long,filled
open Position,1649.79,1682.79,0.01,short,filled
close Position,1649.79,1594.8,0.18,short,canceled
open Position,1651.53,1684.56,0.01,short,filled
close Position,1651.53,1596.48,0.19,short,canceled
open Position,1653.18,1686.24,0.01,short,filled
close Position,1653.18,1598.07,0.2,short,canceled
open Position,1654.75,1687.85,0.01,short,filled
close Position,1654.75,1599.59,0.21,short,canceled
open Position,1656.25,1689.38,0.01,short,filled
close Position,1656.25,1601.04,0.22,short,canceled
open Position,1657.69,1690.84,0.01,short,filled
close Position,1657.69,1602.43,0.23,short,canceled
open Position,1659.07,1692.25,0.01,short,filled
close Position,1659.07,1603.77,0.24,short,canceled
open Position,1660.4,1693.61,0.01,short,filled
close Position,1660.4,1605.05,0.25,short,canceled
open Position,1661.68,1694.91,0.01,short,filled
close Position,1661.68,1606.29,0.26,short,canceled
open Position,1662.91,1696.17,0.01,short,filled
close Position,1662.91,1607.48,0.27,short,canceled
open Position,1664.1,1697.38,0.01,short,filled
close Position,1664.1,1608.63,0.28,short,canceled
open Position,1665.25,1698.56,0.01,short,filled
close Position,1665.25,1609.74,0.29,short,filled
open Position,1520.28,1489.87,0.01,long,filled
close Position,1520.28,1570.96,0.07,long,filled
open Position,1666.36,1699.69,0.01,short,filled
close Position,1666.36,1610.81,0.3,short,canceled
open Position,1667.44,1700.79,0.01,short,filled
close Position,1667.44,1611.86,0.31,short,canceled
open Position,1668.48,1701.85,0.01,short,filled
close Position,1668.48,1612.86,0.32,short,canceled
open Position,1669.49,1702.88,0.01,short,filled
close Position,1669.49,1613.84,0.33,short,canceled
open Position,1670.47,1703.88,0.01,short,filled
close Position,1670.47,1614.79,0.34,short,canceled
open Position,1671.42,1704.85,0.01,short,filled
close Position,1671.42,1615.71,0.35,short,canceled
open Position,1672.35,1705.8,0.01,short,filled
close Position,1672.35,1616.61,0.36,short,canceled
open Position,1673.25,1706.71,0.01,short,filled
close Position,1673.25,1617.47,0.37,short,canceled
open Position,1674.13,1707.61,0.01,short,filled
close Position,1674.13,1618.33,0.38,short,canceled
open Position,1674.99,1708.49,0.01,short,filled
close Position,1674.99,1619.16,0.39,short,canceled
open Position,1675.83,1709.35,0.01,short,filled
close Position,1675.83,1619.97,0.4,short,canceled
open Position,1676.65,1710.18,0.01,short,filled
close Position,1676.65,1620.76,0.41,short,canceled
open Position,1677.45,1711,0.01,short,filled
close Position,1677.45,1621.54,0.42,short,canceled
open Position,1678.23,1711.79,0.01,short,filled
close Position,1678.23,1622.29,0.43,short,canceled
open Position,1678.99,1712.57,0.01,short,filled
close Position,1678.99,1623.02,0.44,short,canceled
open Position,1679.74,1713.33,0.01,short,filled
close Position,1679.74,1623.75,0.45,short,canceled
open Position,1680.47,1714.08,0.01,short,filled
close Position,1680.47,1624.45,0.46,short,canceled
open Position,1681.19,1714.81,0.01,short,filled
close Position,1681.19,1625.15,0.47,short,canceled
open Position,1681.89,1715.53,0.01,short,filled
close Position,1681.89,1625.83,0.48,short,canceled
open Position,1682.58,1716.23,0.01,short,filled
close Position,1682.58,1626.49,0.49,short,canceled
open Position,1683.25,1716.91,0.01,short,filled
close Position,1683.25,1627.14,0.5,short,canceled
open Position,1683.91,1717.59,0.01,short,filled
close Position,1683.91,1627.78,0.51,short,canceled
open Position,1684.56,1718.25,0.01,short,filled
close Position,1684.56,1628.41,0.52,short,canceled
open Position,1685.2,1718.9,0.01,short,filled
close Position,1685.2,1629.03,0.53,short,canceled
open Position,1685.82,1719.54,0.01,short,filled
close Position,1685.82,1629.63,0.54,short,canceled
open Position,1686.43,1720.16,0.01,short,filled
close Position,1686.43,1630.22,0.55,short,canceled
open Position,1687.03,1720.77,0.01,short,filled
close Position,1687.03,1630.8,0.56,short,canceled
open Position,1687.62,1721.37,0.01,short,filled
close Position,1687.62,1631.37,0.57,short,canceled
open Position,1688.2,1721.96,0.01,short,filled
close Position,1688.2,1631.93,0.58,short,canceled
open Position,1688.77,1722.55,0.01,short,filled
close Position,1688.77,1632.48,0.59,short,canceled
open Position,1689.33,1723.12,0.01,short,filled
close Position,1689.33,1633.02,0.6,short,canceled
open Position,1689.88,1723.68,0.01,short,filled
close Position,1689.88,1633.55,0.61,short,canceled
open Position,1690.43,1724.24,0.01,short,filled
close Position,1690.43,1634.08,0.62,short,canceled
open Position,1690.97,1724.79,0.01,short,filled
close Position,1690.97,1634.6,0.63,short,canceled
open Position,1691.5,1725.33,0.01,short,filled
close Position,1691.5,1635.12,0.64,short,canceled
open Position,1692.02,1725.86,0.01,short,filled
close Position,1692.02,1635.62,0.65,short,canceled
open Position,1692.53,1726.38,0.01,short,filled
close Position,1692.53,1636.11,0.66,short,canceled
open Position,1693.04,1726.9,0.01,short,filled
close Position,1693.04,1636.61,0.67,short,canceled
open Position,1693.54,1727.41,0.01,short,filled
close Position,1693.54,1637.09,0.68,short,canceled
open Position,1694.03,1727.91,0.01,short,filled
close Position,1694.03,1637.56,0.69,short,canceled
open Position,1694.51,1728.4,0.01,short,filled
close Position,1694.51,1638.03,0.7,short,canceled
open Position,1694.99,1728.89,0.01,short,filled
