type,pp,limit,margin,side,stat
open Position,1569.65,1538.26,0.01,long,filled
close Position,1569.65,1621.97,0,long,canceled
open Position,1569.65,1601.04,0.01,short,filled
close Position,1569.65,1517.33,0,short,filled
open Position,1553.96,1522.88,0.01,long,filled
close Position,1553.96,1605.76,0,long,canceled
open Position,1569.65,1601.04,0.01,short,filled
open Position,1543.6,1512.73,0.01,long,filled
close Position,1543.6,1595.05,0,long,canceled
open Position,1535.88,1505.16,0.01,long,filled
close Position,1535.88,1587.08,0,long,filled
open Position,1535.88,1505.16,0.01,long,filled
open Position,1585.35,1617.06,0.01,short,canceled
close Position,1585.35,1532.5,0,short,canceled
open Position,1590.58,1622.39,0.01,short,filled
close Position,1590.58,1537.56,0,short,canceled
open Position,1598.53,1630.5,0.01,short,filled
close Position,1598.53,1545.25,0,short,canceled
open Position,1604.92,1637.02,0.01,short,filled
close Position,1604.92,1551.42,0,short,canceled
open Position,1610.27,1642.48,0.01,short,filled
close Position,1610.27,1556.59,0,short,canceled
open Position,1614.87,1647.17,0.01,short,filled
close Position,1614.87,1561.04,0,short,filled
open Position,1614.87,1647.17,0.01,short,filled
open Position,1618.91,1651.29,0.01,short,canceled
close Position,1618.91,1564.95,0,short,canceled
open Position,1622.05,1654.49,0.01,short,filled
close Position,1622.05,1567.98,0,short,canceled
open Position,1625.29,1657.8,0.01,short,filled
close Position,1625.29,1571.11,0,short,canceled
open Position,1628.25,1660.82,0.01,short,filled
close Position,1628.25,1573.97,0,short,canceled
open Position,1630.96,1663.58,0.01,short,filled
close Position,1630.96,1576.59,0,short,canceled
open Position,1633.47,1666.14,0.01,short,filled
close Position,1633.47,1579.02,0,short,canceled
open Position,1635.8,1668.52,0.01,short,filled
close Position,1635.8,1581.27,0,short,canceled
open Position,1637.98,1670.74,0.01,short,filled
close Position,1637.98,1583.38,0,short,canceled
open Position,1640.03,1672.83,0.01,short,filled
close Position,1640.03,1585.36,0,short,canceled
open Position,1641.96,1674.8,0.01,short,filled
close Position,1641.96,1587.23,0,short,canceled
open Position,1643.78,1676.66,0.01,short,filled
close Position,1643.78,1588.99,0,short,canceled
open Position,1645.51,1678.42,0.01,short,filled
close Position,1645.51,1590.66,0,short,canceled
open Position,1647.16,1680.1,0.01,short,filled
close Position,1647.16,1592.25,0.2,short,filled
open Position,1647.16,1680.1,0.01,short,filled
open Position,1529.74,1499.15,0.01,long,canceled
close Position,1529.74,1580.73,0,long,canceled
open Position,1525.64,1495.13,0.01,long,filled
close Position,1525.64,1576.49,0,long,canceled
open Position,1521.28,1490.85,0.01,long,filled
close Position,1521.28,1571.99,0,long,filled
open Position,1521.28,1490.85,0.01,long,filled
open Position,1680.1,1713.7,0.01,short,filled
close Position,1680.1,1624.1,0,short,canceled
open Position,1680.1,1713.7,0.01,short,filled
close Position,1680.1,1624.1,0,short,canceled
open Position,1691.3,1725.13,0.01,short,canceled
close Position,1691.3,1634.92,0,short,canceled
open Position,1696.9,1730.84,0.01,short,filled
close Position,1696.9,1640.34,0,short,canceled
open Position,1703.69,1737.76,0.01,short,filled
close Position,1703.69,1646.9,0,short,canceled
open Position,1709.37,1743.56,0.01,short,filled
close Position,1709.37,1652.39,0,short,canceled
open Position,1714.25,1748.54,0.01,short,filled
close Position,1714.25,1657.11,0,short,canceled
open Position,1718.54,1752.91,0.01,short,filled
close Position,1718.54,1661.26,0,short,canceled
open Position,1722.36,1756.81,0.01,short,filled
close Position,1722.36,1664.95,0,short,canceled
open Position,1725.81,1760.33,0.01,short,filled
close Position,1725.81,1668.28,0,short,canceled
open Position,1728.95,1763.53,0.01,short,filled
close Position,1728.95,1671.32,0,short,canceled
open Position,1731.83,1766.47,0.01,short,filled
