timeStamp,open,close,pSide,pPrice,pMargin,pliq,pEntry,pol1Limit,pol1Margin,pol1Stat,pol1Type,pol1From,gopLimit,gopMargin,gopStat,gopType,gopFrom,colLimit,colMargin,colStat,colType,colFrom,Column1,Column2
2022.09.01 01:00,1578.7,1567.95,long,1566.86,0.01,1492.43,1566.86,1566.86,0.01,filled,open Position,1578.7,0,0,open,open Position,0,0,0,open,open Position,0,,
2022.09.01 02:00,1567.95,1553.5,long,1559.03,0.02,1484.98,1566.86,1543.36,0.01,filled,open Position,1566.86,1684.37,0,open,close Position,1566.86,1492.43,0.01,open,close Position,1566.86,,
2022.09.01 03:00,1553.5,1550.3,long,1553.18,0.03,1479.4,1566.86,1535.64,0.01,filled,open Position,1559.03,1675.96,0.01,open,close Position,1559.03,1484.98,0.02,open,close Position,1559.03,,
2022.09.01 17:00,1567,1517.4,long,1548.52,0.04,1474.97,1566.86,1529.88,0.01,filled,open Position,1553.18,1669.67,0.02,open,close Position,1553.18,1479.4,0.03,open,close Position,1553.18,,
2022.09.01 18:00,1517.4,1535,long,1544.65,0.05,1471.28,1566.86,1525.29,0.01,filled,open Position,1548.52,1664.66,0.03,open,close Position,1548.52,1474.97,0.04,open,close Position,1548.52,,
2022.09.02 00:00,1579.3,1580.65,short,1590.54,0.01,1666.09,1590.54,1590.54,0.01,filled,open Position,1578.7,0,0,open,open Position,0,0,0,open,open Position,0,,
2022.09.02 15:00,1592.3,1622.85,short,1598.49,0.02,1674.42,1590.54,1614.4,0.01,filled,open Position,1590.54,1471.25,0,open,close Position,1590.54,1666.09,0.01,open,close Position,1590.54,,
2022.09.02 16:00,1622.85,1628.15,short,1604.48,0.03,1680.69,1590.54,1622.47,0.01,filled,open Position,1598.49,1478.6,0.01,open,close Position,1598.49,1674.42,0.02,open,close Position,1598.49,,
2022.09.02 17:00,1628.15,1636.05,short,1609.29,0.04,1685.73,1590.54,1628.55,0.01,filled,open Position,1604.48,1484.14,0.02,open,close Position,1604.48,1680.69,0.03,open,close Position,1604.48,,
2022.09.02 18:00,1636.05,1635.5,short,1613.31,0.05,1689.94,1590.54,1633.43,0.01,filled,open Position,1609.29,1488.59,0.03,open,close Position,1609.29,1685.73,0.04,open,close Position,1609.29,,
