profitLevel,closeLevel,addLossLevel,levrage,maxLongMargin,longPnl,longMargin,maxShortMargin,shortPnl,shortMargin,totalProfit,totalLoss,totalpnl
0.15,0.15,0.15,3,0.02,0,0,0.01,0,0,7.110000000000003,-4.3135999999999965,2.7964000000000055
0.15,0.15,0.15,3,0.04,0,0,0.02,0,0,14.220000000000006,-8.627199999999993,5.592800000000011
0.15,0.15,0.15,3,0.06,0,0,0.03,0,0,21.330000000000005,-12.94079999999999,8.389200000000017
0.15,0.15,0.15,3,0.08,0,0,0.04,0,0,28.440000000000012,-17.254399999999986,11.185600000000022
0.15,0.15,0.15,3,0.1,0,0,0.05,0,0,35.55000000000002,-21.567999999999984,13.98200000000003
0.15,0.15,0.15,3,0.12,0,0,0.06,0,0,42.66000000000001,-25.88159999999998,16.778400000000033
0.15,0.15,0.15,3,0.14,0,0,0.07,0,0,49.770000000000024,-30.19519999999998,19.57480000000004
0.15,0.15,0.15,3,0.16,0,0,0.08,0,0,56.880000000000024,-34.50879999999997,22.371200000000044
0.15,0.15,0.15,3,0.18,0,0,0.09,0,0,63.990000000000016,-38.82239999999997,25.167600000000046
0.15,0.15,0.15,3,0.2,0,0,0.1,0,0,71.10000000000004,-43.13599999999997,27.96400000000006
0.15,0.15,0.15,5,0.01,0,0,0,0,0,4.209699999999998,-3.4185999999999988,0.7910999999999992
0.15,0.15,0.15,5,0.02,0,0,0,0,0,8.419399999999996,-6.8371999999999975,1.5821999999999985
0.15,0.15,0.15,5,0.03,0,0,0,0,0,12.629099999999994,-10.255799999999997,2.373299999999997
0.15,0.15,0.15,5,0.04,0,0,0,0,0,16.838799999999992,-13.674399999999995,3.164399999999997
0.15,0.15,0.15,5,0.05,0,0,0,0,0,21.04849999999999,-17.092999999999996,3.955499999999996
0.15,0.15,0.15,5,0.06,0,0,0,0,0,25.258199999999988,-20.511599999999994,4.746599999999994
0.15,0.15,0.15,5,0.07,0,0,0,0,0,29.46789999999999,-23.9302,5.537699999999992
0.15,0.15,0.15,5,0.08,0,0,0,0,0,33.677599999999984,-27.34879999999999,6.328799999999994
0.15,0.15,0.15,5,0.09,0,0,0,0,0,37.88729999999998,-30.76739999999999,7.119899999999991
0.15,0.15,0.15,5,0.1,0,0,0,0,0,42.09699999999998,-34.18599999999999,7.910999999999992
0.15,0.15,0.15,8,0.01,0,0,0,0,0,3.9680999999999975,-3.373199999999995,0.5949000000000023
0.15,0.15,0.15,8,0.02,0,0,0,0,0,7.936199999999995,-6.74639999999999,1.1898000000000046
0.15,0.15,0.15,8,0.03,0,0,0,0,0,11.90429999999999,-10.119599999999982,1.7847000000000066
0.15,0.15,0.15,8,0.04,0,0,0,0,0,15.87239999999999,-13.49279999999998,2.3796000000000093
0.15,0.15,0.15,8,0.05,0,0,0,0,0,19.840499999999988,-16.865999999999975,2.9745000000000115
0.15,0.15,0.15,8,0.06,0,0,0,0,0,23.80859999999998,-20.239199999999965,3.5694000000000132
0.15,0.15,0.15,8,0.07,0,0,0,0,0,27.776699999999984,-23.612399999999965,4.164300000000017
0.15,0.15,0.15,8,0.08,0,0,0,0,0,31.74479999999998,-26.98559999999996,4.7592000000000185
0.15,0.15,0.15,8,0.09,0,0,0,0,0,35.71289999999997,-30.358799999999956,5.354100000000019
0.15,0.15,0.15,8,0.1,0,0,0,0,0,39.680999999999976,-33.73199999999995,5.949000000000023
0.15,0.15,0.15,9,0.02,0,0,0.02,0,0,4.913700000000006,-2.777300000000007,2.1363999999999987
0.15,0.15,0.15,9,0.04,0,0,0.04,0,0,9.827400000000011,-5.554600000000014,4.2727999999999975
0.15,0.15,0.15,9,0.06,0,0,0.06,0,0,14.741100000000015,-8.33190000000002,6.409199999999998
0.15,0.15,0.15,9,0.08,0,0,0.08,0,0,19.654800000000023,-11.109200000000028,8.545599999999995
0.15,0.15,0.15,9,0.1,0,0,0.1,0,0,24.568500000000032,-13.886500000000035,10.681999999999999
0.15,0.15,0.15,9,0.12,0,0,0.12,0,0,29.48220000000003,-16.66380000000004,12.818399999999995
0.15,0.15,0.15,9,0.14,0,0,0.14,0,0,34.39590000000005,-19.44110000000005,14.954799999999995
0.15,0.15,0.15,9,0.16,0,0,0.16,0,0,39.309600000000046,-22.218400000000056,17.09119999999999
0.15,0.15,0.15,9,0.18,0,0,0.18,0,0,44.22330000000005,-24.995700000000063,19.227599999999985
0.15,0.15,0.15,9,0.2,0,0,0.2,0,0,49.137000000000064,-27.77300000000007,21.363999999999997
0.15,0.15,0.15,10,0.02,0,0,0.02,0,0,5.266299999999999,-3.865000000000003,1.4012999999999969
0.15,0.15,0.15,10,0.04,0,0,0.04,0,0,10.532599999999999,-7.730000000000006,2.8025999999999938
0.15,0.15,0.15,10,0.06,0,0,0.06,0,0,15.798899999999998,-11.595000000000008,4.203899999999989
0.15,0.15,0.15,10,0.08,0,0,0.08,0,0,21.065199999999997,-15.460000000000012,5.6051999999999875
0.15,0.15,0.15,10,0.1,0,0,0.1,0,0,26.331499999999988,-19.32500000000001,7.006499999999984
0.15,0.15,0.15,10,0.12,0,0,0.12,0,0,31.597799999999996,-23.190000000000015,8.407799999999979
0.15,0.15,0.15,10,0.14,0,0,0.14,0,0,36.86409999999999,-27.05500000000001,9.80909999999998
0.15,0.15,0.15,10,0.16,0,0,0.16,0,0,42.130399999999995,-30.920000000000023,11.210399999999975
0.15,0.15,0.15,10,0.18,0,0,0.18,0,0,47.39669999999998,-34.785000000000025,12.611699999999967
0.15,0.15,0.15,10,0.2,0,0,0.2,0,0,52.662999999999975,-38.65000000000002,14.012999999999968
0.15,0.15,0.15,11,0.03,0,0,0,0,0,7.146500000000001,-3.3195999999999897,3.8269000000000135
0.15,0.15,0.15,11,0.06,0,0,0,0,0,14.293000000000003,-6.639199999999979,7.653800000000027
0.15,0.15,0.15,11,0.09,0,0,0,0,0,21.43950000000001,-9.958799999999966,11.48070000000004
0.15,0.15,0.15,11,0.12,0,0,0,0,0,28.586000000000006,-13.278399999999959,15.307600000000054
0.15,0.15,0.15,11,0.15,0,0,0,0,0,35.73250000000003,-16.597999999999946,19.13450000000007
0.15,0.15,0.15,11,0.18,0,0,0,0,0,42.87900000000002,-19.917599999999933,22.96140000000008
0.15,0.15,0.15,11,0.21,0,0,0,0,0,50.02550000000004,-23.237199999999923,26.78830000000011
0.15,0.15,0.15,11,0.24,0,0,0,0,0,57.17200000000001,-26.556799999999917,30.615200000000108
0.15,0.15,0.15,11,0.27,0,0,0,0,0,64.31850000000003,-29.8763999999999,34.44210000000012
0.15,0.15,0.15,11,0.3,0,0,0,0,0,71.46500000000006,-33.19599999999989,38.26900000000014
0.15,0.15,0.15,12,0.02,0,0,0,0,0,7.2533,-3.9369999999999976,3.316300000000002
0.15,0.15,0.15,12,0.04,0,0,0,0,0,14.5066,-7.873999999999995,6.632600000000004
0.15,0.15,0.15,12,0.06,0,0,0,0,0,21.7599,-11.810999999999995,9.948900000000007
0.15,0.15,0.15,12,0.08,0,0,0,0,0,29.0132,-15.74799999999999,13.265200000000007
0.15,0.15,0.15,12,0.1,0,0,0,0,0,36.26649999999999,-19.684999999999995,16.581500000000005
0.15,0.15,0.15,12,0.12,0,0,0,0,0,43.5198,-23.62199999999999,19.897800000000014
0.15,0.15,0.15,12,0.14,0,0,0,0,0,50.77309999999999,-27.558999999999987,23.214100000000006
0.15,0.15,0.15,12,0.16,0,0,0,0,0,58.0264,-31.49599999999998,26.530400000000014
0.15,0.15,0.15,12,0.18,0,0,0,0,0,65.27969999999999,-35.43299999999998,29.846700000000016
0.15,0.15,0.15,12,0.2,0,0,0,0,0,72.53299999999999,-39.36999999999999,33.16300000000001
0.15,0.15,0.15,15,0.01,0,0,0,0,0,6.193300000000005,-3.9437000000000078,2.2495999999999987
0.15,0.15,0.15,15,0.02,0,0,0,0,0,12.38660000000001,-7.8874000000000155,4.499199999999997
0.15,0.15,0.15,15,0.03,0,0,0,0,0,18.57990000000002,-11.831100000000024,6.748799999999993
0.15,0.15,0.15,15,0.04,0,0,0,0,0,24.77320000000002,-15.774800000000031,8.998399999999995
0.15,0.15,0.15,15,0.05,0,0,0,0,0,30.966500000000043,-19.71850000000005,11.247999999999987
0.15,0.15,0.15,15,0.06,0,0,0,0,0,37.15980000000004,-23.66220000000005,13.497599999999986
0.15,0.15,0.15,15,0.07,0,0,0,0,0,43.35310000000007,-27.605900000000055,15.747199999999987
0.15,0.15,0.15,15,0.08,0,0,0,0,0,49.54640000000004,-31.549600000000062,17.99679999999999
0.15,0.15,0.15,15,0.09,0,0,0,0,0,55.73970000000004,-35.493300000000076,20.246399999999976
0.15,0.15,0.15,15,0.1,0,0,0,0,0,61.933000000000085,-39.4370000000001,22.495999999999974
0.15,0.15,0.15,18,0,0,0,0.01,0,0,6.026599999999995,-4.610999999999991,1.4156000000000069
0.15,0.15,0.15,18,0,0,0,0.02,0,0,12.05319999999999,-9.221999999999982,2.8312000000000137
0.15,0.15,0.15,18,0,0,0,0.03,0,0,18.079799999999985,-13.832999999999968,4.246800000000021
0.15,0.15,0.15,18,0,0,0,0.04,0,0,24.10639999999998,-18.443999999999964,5.662400000000027
0.15,0.15,0.15,18,0,0,0,0.05,0,0,30.132999999999978,-23.054999999999954,7.078000000000035
0.15,0.15,0.15,18,0,0,0,0.06,0,0,36.15959999999997,-27.665999999999936,8.493600000000042
0.15,0.15,0.15,18,0,0,0,0.07,0,0,42.18619999999998,-32.27699999999993,9.90920000000004
0.15,0.15,0.15,18,0,0,0,0.08,0,0,48.21279999999996,-36.88799999999993,11.324800000000055
0.15,0.15,0.15,18,0,0,0,0.09,0,0,54.23939999999996,-41.4989999999999,12.740400000000056
0.15,0.15,0.15,18,0,0,0,0.1,0,0,60.265999999999956,-46.10999999999991,14.15600000000007
0.15,0.15,0.15,20,0,0,0,0.01,0,0,5.2606999999999955,-4.78889999999999,0.4718000000000076
