side,limit,margin,stat,type,fromPosition
long,-45782.3,0.01,open,open Position,1578.7
long,-45470.55,0.01,open,open Position,1567.95
long,-45051.5,0.01,open,open Position,1553.5
long,-44958.7,0.01,open,open Position,1550.3
long,-45205.2,0.01,open,open Position,1558.8
long,-45132.7,0.01,open,open Position,1556.3
long,-44913.75,0.01,open,open Position,1548.75
long,-44967.4,0.01,open,open Position,1550.6
long,-45019.6,0.01,open,open Position,1552.4
long,-44939.85,0.01,open,open Position,1549.65
long,-44774.55,0.01,open,open Position,1543.95
long,-44857.2,0.01,open,open Position,1546.8
long,-44925.35,0.01,open,open Position,1549.15
long,-45367.6,0.01,open,open Position,1564.4
long,-45728.65,0.01,open,open Position,1576.85
long,-45356,0.01,open,open Position,1564
long,-45443,0.01,open,open Position,1567
long,-44004.6,0.01,open,open Position,1517.4
long,-44515,0.01,open,open Position,1535
long,-44612.15,0.01,open,open Position,1538.35
long,-45076.15,0.01,open,open Position,1554.35
long,-45203.75,0.01,open,open Position,1558.75
long,-45356,0.01,open,open Position,1564
long,-45799.7,0.01,open,open Position,1579.3
long,-45838.85,0.01,open,open Position,1580.65
long,-45992.55,0.01,open,open Position,1585.95
long,-45975.15,0.01,open,open Position,1585.35
long,-45844.65,0.01,open,open Position,1580.85
long,-45788.1,0.01,open,open Position,1578.9
long,-45740.25,0.01,open,open Position,1577.25
long,-46252.1,0.01,open,open Position,1594.9
long,-46205.7,0.01,open,open Position,1593.3
long,-46127.4,0.01,open,open Position,1590.6
long,-46046.2,0.01,open,open Position,1587.8
long,-46204.25,0.01,open,open Position,1593.25
long,-46091.15,0.01,open,open Position,1589.35
long,-46198.45,0.01,open,open Position,1593.05
long,-46066.5,0.01,open,open Position,1588.5
long,-46176.7,0.01,open,open Position,1592.3
long,-47062.65,0.01,open,open Position,1622.85
long,-47216.35,0.01,open,open Position,1628.15
long,-47445.45,0.01,open,open Position,1636.05
long,-47429.5,0.01,open,open Position,1635.5
long,-46674.05,0.01,open,open Position,1609.45
long,-45895.4,0.01,open,open Position,1582.6
long,-45730.1,0.01,open,open Position,1576.9
long,-45263.2,0.01,open,open Position,1560.8
long,-45463.3,0.01,open,open Position,1567.7
long,-45786.65,0.01,open,open Position,1578.85
long,-45808.4,0.01,open,open Position,1579.6
long,-45648.9,0.01,open,open Position,1574.1
long,-45698.2,0.01,open,open Position,1575.8
long,-45603.95,0.01,open,open Position,1572.55
long,-45434.3,0.01,open,open Position,1566.7
long,-45254.5,0.01,open,open Position,1560.5
long,-45361.8,0.01,open,open Position,1564.2
long,-45527.1,0.01,open,open Position,1569.9
long,-45337.15,0.01,open,open Position,1563.35
long,-44744.1,0.01,open,open Position,1542.9
long,-44754.25,0.01,open,open Position,1543.25
long,-44970.3,0.01,open,open Position,1550.7
long,-45086.3,0.01,open,open Position,1554.7
long,-44884.75,0.01,open,open Position,1547.75
long,-45144.3,0.01,open,open Position,1556.7
long,-45251.6,0.01,open,open Position,1560.4
long,-44925.35,0.01,open,open Position,1549.15
long,-44876.05,0.01,open,open Position,1547.45
long,-44928.25,0.01,open,open Position,1549.25
long,-45038.45,0.01,open,open Position,1553.05
long,-44954.35,0.01,open,open Position,1550.15
long,-44913.75,0.01,open,open Position,1548.75
long,-45009.45,0.01,open,open Position,1552.05
long,-44977.55,0.01,open,open Position,1550.95
long,-45084.85,0.01,open,open Position,1554.65
long,-45142.85,0.01,open,open Position,1556.65
long,-45139.95,0.01,open,open Position,1556.55
